Date,Last Price,Volume,RSI,MACD,News Sentiment - Daily Average,News Publication Count,P/E,P/B,Correction
11/27/2018,174.24,41387376,29.3695,-2.1185,-0.6527,4000,62.76657061,7.87541318,1
11/26/2018,174.62,44998520,29.5646,-2.4668,-0.4126,1888,62.90345821,7.892588668,0
11/23/2018,172.29,23623972,26.7963,-2.7325,-0.1021,2699,62.06412104,7.787275808,1
11/21/2018,176.78,31124210,28.8234,-2.5774,-0.2319,4299,63.6815562,7.990217757,0
11/20/2018,176.98,67825248,28.9139,-2.4683,-0.7768,5057,63.75360231,7.999257487,0
11/19/2018,185.86,41920872,33.2116,-2.0141,-0.4324,2380,66.95244957,8.40062152,0
11/16/2018,193.53,36928252,37.7068,-1.9401,0.1588,3125,69.71541787,8.747295183,0
11/15/2018,191.41,46478800,35.465,-2.3631,0.2337,4451,68.95172911,8.65147404,1
11/14/2018,186.8,60800956,30.4077,-2.5538,-0.2377,3610,67.29106628,8.443108253,1
11/13/2018,192.23,46882936,33.2583,-2.1132,-0.7194,5532,69.24711816,8.688536935,0
11/12/2018,194.17,51135520,34.3258,-1.7336,0.2043,1686,69.94596542,8.776222321,0
11/9/2018,204.47,34365752,40.779,-1.1354,0.1389,2423,73.65634006,9.24176844,0
11/8/2018,208.49,25362636,43.7606,-1.0961,0.1106,2903,75.10446686,9.423467022,0
11/7/2018,209.95,33424434,44.8669,-1.3164,0.1219,3033,75.63040346,9.489457054,0
11/6/2018,203.77,31882880,38.784,-1.6758,-0.2975,4588,73.40417867,9.210129383,1
11/5/2018,201.59,66163668,36.4888,-1.454,0.2153,2628,72.61887608,9.111596321,1
11/2/2018,207.48,91328656,40.2776,-0.7367,0.7527,6559,74.74063401,9.377816383,0
11/1/2018,222.22,58323180,53.0868,-0.116,0.1292,3443,80.05043228,10.04404452,0
10/31/2018,218.86,38358932,49.7009,-0.6049,0.2161,7120,78.84005764,9.892177046,1
10/30/2018,213.3,36659992,43.4269,-0.981,0.209,3353,76.83717579,9.64087254,1
10/29/2018,212.24,45935520,42.1495,-0.9237,0.1672,2274,76.45533141,9.592961968,1
10/26/2018,216.3,47258376,45.83,-0.6415,0.0747,3020,77.91786744,9.776468497,0
10/25/2018,219.8,29855768,49.2743,-0.5487,-0.0766,3381,79.17867435,9.93466378,0
10/24/2018,215.09,40925164,44.0169,-0.7113,0.0745,3270,77.48198847,9.721778127,1
10/23/2018,222.73,38767848,52.1595,-0.4337,0.1275,2712,80.23414986,10.06709583,0
10/22/2018,220.65,28792082,49.8124,-0.7371,0.1912,1712,79.48487032,9.973082634,1
10/19/2018,219.31,33078726,48.295,-0.954,0.1917,3289,79.00216138,9.91251644,1
10/18/2018,216.02,32581316,44.4669,-1.0928,0.148,2591,77.81700288,9.763812874,1
10/17/2018,221.19,22885396,49.8527,-0.9003,0.1326,2623,79.67939481,9.997489906,0
10/16/2018,222.15,29183964,50.916,-1.0605,0.2119,3057,80.02521614,10.04088061,0
10/15/2018,217.36,30791008,45.5335,-1.345,0.1157,1893,78.29971182,9.824379068,1
10/12/2018,222.11,40337852,50.6477,-1.2221,0.2634,2799,80.01080692,10.03907267,0
10/11/2018,214.45,53124392,40.6689,-1.4358,0.2462,3549,77.25144092,9.69285099,1
10/10/2018,216.36,41990552,42.6663,-0.9096,0.0871,3168,77.93948127,9.779180416,0
10/9/2018,226.87,26891028,56.961,-0.2267,0.1337,2535,81.72550432,10.25421825,0
10/8/2018,223.77,29663924,52.6127,-0.2295,-0.1294,1815,80.60878963,10.11410243,1
10/5/2018,224.29,33580464,53.4539,0.0586,-0.0618,2817,80.79610951,10.13760573,0
10/4/2018,227.99,32042000,59.7677,0.4173,0.1287,2325,82.12896254,10.30484074,0
10/3/2018,232.07,28654800,67.9908,0.5353,0.0689,2308,83.59870317,10.48925124,0
10/2/2018,229.28,24788170,64.9267,0.2219,0.1123,2132,82.59365994,10.363147,1
10/1/2018,227.26,23600802,62.5142,-0.0519,0.1157,1544,81.86599424,10.27184573,1
9/28/2018,225.74,22929364,60.6217,-0.3172,0.2915,3033,103.5504587,9.510619892,1
9/27/2018,224.95,30181228,59.6382,-0.598,0.1575,2715,103.1880734,9.477336514,1
9/26/2018,220.42,23984706,53.4478,-0.9554,0.0955,3278,101.1100917,9.286483728,1
9/25/2018,222.19,24554380,56.5973,-1.0265,0.2576,3470,101.9220183,9.361055346,0
9/24/2018,220.79,27693358,54.6338,-1.2799,0.0963,1711,101.2798165,9.302072145,1
9/21/2018,217.66,96246752,49.9318,-1.4839,0.1669,3933,99.8440367,9.170202559,1
9/20/2018,220.03,26608794,53.8566,-1.4205,0.0881,3088,100.9311927,9.270052693,0
9/19/2018,218.37,27123832,51.3705,-1.5011,0.0755,4088,100.1697248,9.200115469,1
9/18/2018,218.24,31571712,51.1793,-1.3997,0.0676,4826,100.1100917,9.194638457,1
9/17/2018,217.88,37195132,50.6805,-1.1776,0.2219,2566,99.94495413,9.179471348,1
9/14/2018,223.84,31999288,60.1243,-0.763,0.2476,6389,102.6788991,9.430571262,0
9/13/2018,226.41,41706376,64.9721,-0.724,0.2676,15332,103.8577982,9.538847567,0
9/12/2018,221.07,49278740,58.5191,-0.9449,0.3988,5034,101.4082569,9.313868785,1
9/11/2018,223.85,35749048,64.2401,-0.7594,0.2084,4046,102.6834862,9.430992571,0
9/10/2018,218.33,39516452,56.3769,-0.7711,0.2649,2943,100.1513761,9.198430234,1
9/7/2018,221.3,37619808,63.3348,-0.2541,0.282,2795,101.5137615,9.323558883,0
9/6/2018,223.1,34289976,68.0621,0.1958,0.1154,2569,102.3394495,9.399394427,0
9/5/2018,226.87,33332960,79.6199,0.6193,0.3353,3053,104.0688073,9.558227762,0
9/4/2018,228.36,27390132,84.9117,0.7653,0.224,1969,104.7522936,9.62100274,0
8/31/2018,227.63,43340136,84.4413,0.6909,0.2243,4196,104.4174312,9.590247214,1
8/30/2018,225.03,48793824,82.6525,0.4999,0.1553,2708,103.2247706,9.480706983,1
8/29/2018,222.98,27254804,81.058,0.3316,0.1516,2226,102.2844037,9.394338724,1
8/28/2018,219.7,22776766,78.0622,0.1595,0.1408,2663,100.7798165,9.25614951,1
8/27/2018,217.94,20525116,76.1856,0.1223,0.1344,1446,99.97247706,9.1819992,1
8/24/2018,216.16,18476356,74.1054,0.149,0.1439,2182,99.1559633,9.107006272,1
8/23/2018,215.49,18883224,73.2899,0.2781,0.3841,2473,98.84862385,9.078778597,1
8/22/2018,215.05,19018132,72.7669,0.4473,0.2057,2155,98.64678899,9.06024102,1
8/21/2018,215.04,26159756,72.7556,0.6437,0.1268,2760,98.64220183,9.059819711,1
8/20/2018,215.46,30287696,73.9479,0.8252,0.1147,1638,98.83486239,9.077514672,0
8/17/2018,217.58,35426996,80.1,0.926,-0.1929,2404,99.80733945,9.166832091,0
8/16/2018,213.32,28500368,76.4432,0.7198,0.0959,2400,97.85321101,8.987354636,1
8/15/2018,210.24,28807564,73.128,0.694,0.1908,3604,96.44036697,8.857591593,1
8/14/2018,209.75,20748010,72.5574,0.8404,0.1223,2437,96.21559633,8.836947472,1
8/13/2018,208.87,25890880,71.5501,0.9883,0.0851,1363,95.81192661,8.799872317,1
8/10/2018,207.53,24611202,69.9927,1.169,0.1144,2709,95.19724771,8.743416968,1
8/9/2018,208.88,23492626,73.7706,1.4373,0.136,2116,95.81651376,8.800293626,0
8/8/2018,207.25,22525488,72.0811,1.5532,0.1585,2529,95.06880734,8.731620327,1
8/7/2018,207.11,25587388,71.9369,1.725,0.1462,3027,95.00458716,8.725722007,1
8/6/2018,209.07,25425388,77.1135,1.8256,0.1617,2252,95.90366972,8.808298489,0
8/3/2018,207.99,33447396,76.2386,1.5966,0.7342,6503,95.40825688,8.762797162,1
8/2/2018,207.39,62404012,75.7606,1.177,0.8099,4901,95.13302752,8.737518647,1
8/1/2018,201.5,67935712,70.3177,0.4454,0.8188,8626,92.43119266,8.489367894,1
7/31/2018,190.29,39373040,50.7885,-0.1799,0.4645,2886,87.28899083,8.017080975,1
7/30/2018,189.91,21029536,49.7478,-0.04,0.4496,1588,87.1146789,8.001071249,1
7/27/2018,190.98,24023972,52.6596,0.2055,0.4113,2119,87.60550459,8.046151267,0
7/26/2018,194.21,19075964,62.995,0.4515,0.2064,2180,89.08715596,8.182233939,0
7/25/2018,194.82,16830328,65.2405,0.4583,0.1251,2086,89.36697248,8.207933762,0
7/24/2018,193,18697898,61.4316,0.3514,0.2009,2001,88.53211009,8.1312556,1
7/23/2018,191.61,15989365,58.182,0.321,0.2045,1275,87.89449541,8.072693708,1
7/20/2018,191.44,20706042,57.778,0.3729,0.1764,2153,87.81651376,8.065531462,1
7/19/2018,191.88,20286752,59.1514,0.4286,0.0499,2190,88.01834862,8.084069039,0
7/18/2018,190.4,16393381,55.8753,0.4249,0.2169,2311,87.33944954,8.021715369,1
7/17/2018,191.45,15534523,58.9922,0.5238,0.1118,2187,87.82110092,8.06595277,0
7/16/2018,190.91,15043110,57.8699,0.5222,0.3016,1381,87.5733945,8.043202107,1
7/13/2018,191.33,12519792,59.0368,0.5242,0.3002,2904,87.76605505,8.060897067,0
7/12/2018,191.03,18041132,58.4815,0.4356,0.164,2381,87.62844037,8.04825781,1
7/11/2018,187.88,18831470,52.1583,0.2855,0.092,2878,86.18348624,7.915545607,1
7/10/2018,190.35,15939149,58.6636,0.3413,0.0911,2573,87.31651376,8.019608827,0
7/9/2018,190.58,19756634,59.3031,0.1499,0.1739,1295,87.42201835,8.029298924,0
7/6/2018,187.97,17485244,54.0214,-0.1907,0.1621,2299,86.22477064,7.919337384,1
7/5/2018,185.4,16604248,47.8306,-0.451,0.171,1164,85.04587156,7.811061079,1
7/3/2018,183.92,13954806,43.783,-0.5662,0.1087,1771,84.36697248,7.748707409,1
7/2/2018,187.18,17731344,52.0415,-0.5529,0.466,1143,85.86238532,7.886054007,0
6/29/2018,185.11,22737666,46.0404,-0.8205,0.2514,1981,70.25047438,14.29781365,1
6/28/2018,185.5,17365236,47.0709,-0.973,0.1041,2898,70.39848197,14.32793707,0
6/27/2018,184.16,25285328,43.0007,-1.1827,0.082,2229,69.88994307,14.22443607,1
6/26/2018,184.43,24569200,43.6284,-1.2936,0.0472,2518,69.99240987,14.24529075,0
6/25/2018,182.17,31663096,36.4138,-1.4056,-0.1153,1385,69.13472486,14.07072936,1
6/22/2018,184.92,27200448,42.5697,-1.2571,0.0465,1899,70.17836812,14.28313813,0
6/21/2018,185.46,25711898,43.9237,-1.2209,0.0863,2213,70.38330171,14.32484749,0
6/20/2018,186.5,20628700,46.5727,-1.1461,0.1166,2831,70.77798861,14.40517663,0
6/19/2018,185.69,33578456,44.1361,-1.0716,-0.1435,3143,70.47058824,14.34261259,1
6/18/2018,188.74,18484864,52.5092,-0.8195,0.2377,1267,71.62808349,14.57819322,0
6/15/2018,188.84,61719160,52.8142,-0.7021,0.1092,2334,71.66603416,14.58591718,0
6/14/2018,190.8,21610074,59.0585,-0.5119,-0.1028,2347,72.40986717,14.7373067,0
6/13/2018,190.7,21638392,58.8278,-0.4135,0.0621,2104,72.37191651,14.72958275,1
6/12/2018,192.28,16911140,64.1274,-0.2619,0.0973,2331,72.971537,14.85162124,0
6/11/2018,191.23,18308460,62.0158,-0.2107,-0.079,1620,72.57305503,14.77051971,1
6/8/2018,191.7,26656800,63.5712,-0.057,-0.145,2633,72.75142315,14.8068223,0
6/7/2018,193.46,21347180,69.6449,0.0917,0.0519,2615,73.41935484,14.94276391,0
6/6/2018,193.98,20933620,71.5195,0.0884,0.0306,3852,73.61669829,14.98292848,0
6/5/2018,193.31,21565964,70.5718,-0.0303,0.0277,7905,73.36242884,14.93117798,1
6/4/2018,191.83,26266174,68.416,-0.2018,0.0285,2084,72.80075901,14.81686344,1
6/1/2018,190.24,23442510,65.9259,-0.3611,0.0562,2687,72.19734345,14.69405255,1
5/31/2018,186.87,27482792,59.6678,-0.4767,0.0868,2386,70.91840607,14.43375526,1
5/30/2018,187.5,18690548,61.6328,-0.3334,0.1301,2751,71.15749526,14.48241618,0
5/29/2018,187.9,22514076,62.8531,-0.1978,0.2183,2181,71.30929791,14.513312,0
5/25/2018,188.58,17460964,64.881,-0.0637,-0.2209,3046,71.56736243,14.5658349,0
5/24/2018,188.15,23233976,64.2029,0.0276,0.1102,2507,71.40417457,14.53262189,1
5/23/2018,188.36,20058416,64.7701,0.1558,0.0286,2481,71.48387097,14.54884219,0
5/22/2018,187.16,15240704,63.0373,0.267,0.0733,2243,71.028463,14.45615473,1
5/21/2018,187.63,18400788,64.1855,0.486,0.2118,1518,71.20683112,14.49245732,0
5/18/2018,186.31,18297728,62.3995,0.6896,0.0487,2444,70.70588235,14.39050111,1
5/17/2018,186.99,17294028,63.9244,1.0355,0.0775,2922,70.96394687,14.44302401,0
5/16/2018,188.18,19183064,66.5678,1.3784,0.1744,2733,71.41555977,14.53493908,0
5/15/2018,186.44,23695160,64.579,1.6398,-0.1073,2488,70.75521822,14.40054225,1
5/14/2018,188.15,20778772,68.2859,2.0526,-0.0982,1616,71.40417457,14.53262189,0
5/11/2018,188.59,26212220,69.2355,2.3271,0.2744,3076,71.5711575,14.56660729,0
5/10/2018,190.04,27989288,72.3125,2.4947,0.0914,2192,72.12144213,14.67860464,0
5/9/2018,187.36,23211240,70.0262,2.3835,0.191,2043,71.10436433,14.47160264,1
5/8/2018,186.05,28402776,68.8591,2.2662,0.467,2666,70.60721063,14.37041883,1
5/7/2018,185.16,42451424,68.0749,2.0182,0.3113,1671,70.26944972,14.30167563,1
5/4/2018,183.83,56201316,66.9188,1.548,0.4886,2288,69.76470588,14.19894702,1
5/3/2018,176.89,34068180,59.8794,0.8147,0.8094,3578,67.13092979,13.66290452,1
5/2/2018,176.57,66539372,59.5105,0.2998,0.8075,5936,67.00948767,13.63818787,1
